1,Adler,,Five Early American Tunes for String Orchestra,String,N,N/A,N/A,,Notes:  Scanned:  Issues: not there
2,Adler,,Concertino for String Orchestra,String,4,N/A,N/A,,Notes: (play all) Scanned: Y Issues: not there
3,Daal'Abaco,,"4 Concerti Da Chiesa (nos. 4, 5, 8, 9?)",String,N,N/A,N/A,,"Notes: 1, 2 cont. mvts., Scores Only Scanned: y Issues: "
4,Albinoni,Polnauer,Three Balletti for Strings,String,N,N/A,N/A,,Notes:  Scanned: y Issues: 
5,Anderson,,The Beauty Within/Stormy Night,Other,N,N/A,N/A,,Notes:  Scanned: y Issues: 
6,Anderson,,Suite of Carols,String,N,N/A,N/A,,Notes:  Scanned: y Issues: 
7,Ariosti,Clark,Overture (from Vespasian),String,4,N/A,N/A,,Notes:  Scanned:  Issues: 
8,Atwell,,Drifen,String,4,N/A,N/A,,Notes:  Scanned: y Issues: 
9,Atwell,,Stasis,String,N,N/A,N/A,,Notes:  Scanned: y Issues: 
10,Atwell,,Canon in B Muse,String,N,N/A,N/A,,Notes:  Scanned: y Issues: 
11,Auton,,Folk Songs for Strings (English),String,?,N/A,N/A,,Notes:  Scanned:  Issues: 
12,Bach,,Sinfonia #3 in C,String,1,N/A,N/A,,Notes:  Scanned: y Issues: 
13,Bach,,Sinfonia #5,String,N,N/A,N/A,,Notes:  Scanned:  Issues: 
14,JC Bach,Dackow,Sinfonia in D Major,String,2,N/A,N/A,,Notes: No score Scanned:  Issues: 
15,Bach,,3 London Sinfonias,String,N,N/A,N/A,,Notes:  Scanned:  Issues: 
16,Bach,,Double Concerto,String,1,N/A,N/A,,Notes:  Scanned:  Issues: 
17,Bach,Jasinski,Brandenburg #4 3rd Movement,String,4,N/A,N/A,,Notes: Performed UIL 2011 Scanned:  Issues: 
18,Bach,,Concerto in D Major,Other,3,N/A,Y,,Notes: No Piano Scanned:  Issues: 
19,Bach,Ormandy,Three Choral Preludes,String,5,N/A,N/A,,Notes:  Scanned:  Issues: 
20,Bach,, Brandenburg Concerto #5,String,N,N/A,N/A,,Notes:  Scanned:  Issues: 
21,Bach,Del Borgo,"Jesu, Joy of Man's Desiring",String,N,N/A,N/A,,Notes:  Scanned:  Issues: 
22,Bach,Jasinski,Brandenburg #4 3rd Movement,String,4,N/A,N/A,,Notes:  Scanned:  Issues: 
23,Bach,Leidig,Bach Suite for String Orchestra,String,1 or 2,N/A,N/A,,"Notes: Minuet, March & Gavotte Scanned:  Issues: "
24,Bach,Issac,Concerto #3,String,3,N/A,N/A,,Notes:  Scanned:  Issues: 
25,Bach,,Brandenburg Concerto #3 (Unabridged),String,3,N/A,N/A,,"Notes: No Score
 Scanned:  Issues: "
26,Bach,Grant,Fugue in g minor (organ),String,4,N/A,N/A,,Notes:  Scanned:  Issues: 
27,Bach,,Brandenburg #3,String,N,N/A,N/A,,"Notes: No Parts
 Scanned:  Issues: "
28,Bach,,Passacaglia and Fugue in c minor,String,5,N/A,N/A,,Notes:  Scanned:  Issues: 
29,Bach,Leidig,Brandenburg #3 third movement,String,N,N/A,N/A,,Notes:  Scanned:  Issues: 
30,Bach,Stokowski,Prelude in B minor,String,4,N/A,N/A,,Notes:  Scanned:  Issues: 
31,Badolt,Rickets,Pirates of Caribbean,String,N,N/A,N/A,,Notes:  Scanned:  Issues: 
32,Baker,Monday,For the Star of County Down,String,N,N/A,N/A,,Notes:  Scanned:  Issues: 
33,Barsanti,,Overture op. 4 no. 2,String,5,N/A,N/A,,Notes:  Scanned:  Issues: 
34,Barber,,Adagio for Strings,String,5,N/A,N/A,,Notes:  Scanned:  Issues: 
35,Bartok,Willner,Rumanian Folk Dances,String,5,N/A,N/A,,Notes:  Scanned:  Issues: 
36,Bell,,Rondo Festivo,String,3,N/A,N/A,,Notes:  Scanned:  Issues: 
37,Beethoven,,Two Minuets,String,N,N/A,N/A,,Notes:  Scanned:  Issues: 
38,Beethoven,Hopkin,Symphony #5,String,3,N/A,N/A,,Notes:  Scanned:  Issues: 
39,Bartok,Willner,Rumanian Folk dances,Both,4 or 5,N/A,N/A,,"Notes: 3 mvmts, all mvmts Scanned:  Issues: "
40,Berger,,Suite for strings,String,4,N/A,N/A,,Notes:  Scanned:  Issues: 
41,Berger,,Short overture for strings,String,4,N/A,N/A,,Notes:  Scanned:  Issues: 
42,Biber,,Battalia,String,N,N/A,N/A,,Notes:  Scanned:  Issues: 
43,Bizet,MaCoshin,Carillon from L'Arlesienne Suite #1,String,N,N/A,N/A,,Notes:  Scanned:  Issues: 
44,Bizet,,Adagietto from L'Arlesienne #1,String,4,N/A,N/A,,Notes: arr. Dasch(?) Scanned:  Issues: 
45,Bizet,Centuri,Intermezzo from L'Arlesienne Suite #2,String,N,N/A,N/A,,Notes:  Scanned:  Issues: 
46,Bloch,,"Prayer, from Jewish Life, no. 1",Other,N,N/A,N/A,,Notes:  Scanned:  Issues: 
47,Bloch,,Concerto Grosso,String,5,N/A,N/A,,Notes:  Scanned:  Issues: 
48,Bloch,,Concerto Grosso,Other,5,N/A,N/A,,Notes:  Scanned:  Issues: 
49,Bowen,,8 Masterworks,String,N,N/A,N/A,,Notes:  Scanned:  Issues: 
50,Boyce,,Suite for Strings,String,N,N/A,N/A,,Notes:  Scanned:  Issues: 
51,Boyce,Folus,Symphony #1,String,N,N/A,N/A,,Notes:  Scanned:  Issues: 
52,Brahms,,"Es ist ein ros entsprugen (Low, How a Rose E'er Blooming)",String,N,N/A,N/A,,Notes:  Scanned:  Issues: 
53,Brown,,Christmas Fugue (we wish you a merry christmas),N/A,N,N/A,N/A,,Notes: Holiday Scanned:  Issues: 
54,Burswald,,Dance,String,N,N/A,N/A,,Notes: Solo Vln & String Scanned:  Issues: 
55,Byrd,,thee leavees be greene,Other,,N/A,N/A,,Notes:  Scanned:  Issues: 
56,Casals,,Song of the Birds,Other,N,N/A,N/A,,Notes:  Scanned:  Issues: 
57,Corelli,,Concerto Grosso op. 6 no. 1,N/A,N,N/A,N/A,,Notes:  Scanned:  Issues: 
58,Corelli,Sopkin,La Folia,Both,,N/A,N/A,,Notes:  Scanned:  Issues: 
59,Corelli,Zimmerman,Suite in F,String,N,N/A,N/A,,Notes:  Scanned:  Issues: 
60,Corelli,,Concerto Grosso op. 6 no. 4,String,N,N/A,N/A,,Notes:  Scanned:  Issues: 
61,Copland,,Hoedown from Rodeo,String,5,N/A,N/A,,Notes:  Scanned:  Issues: 
62,Copland,Moss,Old American Folk Songs,String,N,N/A,N/A,,Notes:  Scanned:  Issues: 
63,Corigliano,,Voyage,String,5,N/A,N/A,,Notes:  Scanned:  Issues: 
64,Daniels,,Prelude and dance,String,1,N/A,N/A,,Notes:  Scanned:  Issues: 
65,Creston,,Gregorian Chant,String,5,N/A,N/A,,Notes:  Scanned:  Issues: 
66,Debussy,,Andantino from String Quartet,String,N,N/A,N/A,,Notes: Hard Keys Scanned:  Issues: 
67,Del Borgo,,Dance Scenario,String,2,N/A,N/A,,Notes:  Scanned:  Issues: 
68,Cacauas,,Montage for Strings,String,N,N/A,N/A,,Notes:  Scanned:  Issues: 
69,Del Borgo,,Clog Dance,String,1,N/A,N/A,,Notes:  Scanned:  Issues: 
70,Del Borgo,,Dance Scenario,String,2,N/A,N/A,,Notes:  Scanned:  Issues: 
71,Del Borgo,,Greensleeves Variant,String,N,N/A,N/A,,Notes:  Scanned:  Issues: 
72,Del Borgo,,Petite Overture,String,2,N/A,N/A,,Notes:  Scanned:  Issues: 
73,Del Borgo,,Sonatine,String,1,N/A,N/A,,Notes:  Scanned:  Issues: 
74,Del Borgo,,Korean Folk Song Variants,String,N,N/A,N/A,,Notes:  Scanned:  Issues: 
75,Dello Joio,,Air for strings,String,N,N/A,N/A,,Notes:  Scanned:  Issues: 
76,Dello Joio,,Choreography ,String,5,N/A,N/A,,Notes:  Scanned:  Issues: 
77,Dvorak,,Serenade for strings,String,5,N/A,N/A,,Notes: Performed UIL 2011 Scanned:  Issues: 
78,Dvorak,,Notturano,String,N,N/A,N/A,,Notes:  Scanned:  Issues: 
79,Dvorak,,Two Waltzes ,String,N,N/A,N/A,,Notes:  Scanned:  Issues: 
80,Elfmar,,Selections from Corpse Bride,Both,N,N/A,N/A,,Notes:  Scanned:  Issues: 
81,Elgar,,"Elegy, op. 58",String,N,N/A,N/A,,Notes:  Scanned:  Issues: 
82,Elgar,Bender,Nimrod,String,4,N/A,N/A,,Notes:  Scanned:  Issues: 
83,Elgar,,Pomp and Circumstance,Full,2,N/A,N/A,,Notes:  Scanned:  Issues: 
84,Elgar,,Sospiri op. 70,String,5,N/A,N/A,,Notes:  Scanned:  Issues: 
85,Elgar,,Serenade for strings,N/A,5,N/A,N/A,,Notes:  Scanned:  Issues: 
86,England,,Variations on an english pastoral theme,N/A,N,N/A,N/A,,Notes:  Scanned:  Issues: 
87,Errante,,Songs of early america,N/A,N,N/A,N/A,,Notes:  Scanned:  Issues: 
88,Feese,,Contrasts in e minor,String,3,N/A,N/A,,Notes:  Scanned:  Issues: 
89,Coleman,,Adieu,String,N,N/A,N/A,,Notes:  Scanned:  Issues: 
90,Fishburn,,Celtic Suite,String,2,N/A,N/A,,Notes:  Scanned:  Issues: 
91,Feese,,Colorado Suite,String,2,N/A,N/A,,Notes:  Scanned:  Issues: 
92,Feese,Newport,Festival,String,N,N/A,N/A,,Notes:  Scanned:  Issues: 
93,Fine,,"Riu Riu Chiu, trad 15th c. Spanish Carol",String,3,N/A,N/A,,Notes:  Scanned:  Issues: 
94,Fletcher,,Folk Tune and fiddle dance,String,3 or 4,N/A,N/A,,Notes: No Score - missing 2nd vln Scanned:  Issues: 
95,Fletcher,,Semiquaver Serenade,String,N,N/A,N/A,,Notes:  Scanned:  Issues: 
96,Fletcher,,Serenade for Violas,String,N,N/A,N/A,,Notes:  Scanned:  Issues: 
97,Franck,Holcombre,Panis Angelicus,String,2 or 3,N/A,N/A,,Notes:  Scanned:  Issues: 
98,Frescobaldi,Higgins,Toccata,String,1,N/A,N/A,,Notes:  Scanned:  Issues: 
99,Frost,,Petite Rondo,String,N,N/A,N/A,,Notes:  Scanned:  Issues: 
100,Frost,,Hornpipe,String,2,N/A,N/A,,Notes:  Scanned:  Issues: 
101,Geminiani,,"Concerto Grosso op. 3, #2",N/A,3,N/A,N/A,,Notes:  Scanned:  Issues: 
102,Gershwin,Cerulli,Summertime from Porgy and Bess,String,N,N/A,N/A,,Notes:  Scanned:  Issues: 
103,Grainger,Dackow,Shepherd's Hey,String,N,N/A,N/A,,Notes:  Scanned:  Issues: 
104,Graves,,Passacaglia and fugue,String,N,N/A,N/A,,Notes:  Scanned:  Issues: 
105,Gluck,,Minuet from Orfeo,String,N,N/A,N/A,,Notes:  Scanned:  Issues: 
106,Galuppi,,Concerto in D for 2 flutes/strings,String,N,N/A,N/A,,Notes:  Scanned:  Issues: 
107,Grant,,The Scarlet Sarafan,String,2,N/A,N/A,,Notes:  Scanned:  Issues: 
108,Grainger,,Irish Ture from County Derry,String,N,N/A,N/A,,Notes:  Scanned:  Issues: 
109,Grainger,Dackow,Mock Morris ,String,4,N/A,N/A,,Notes:  Scanned:  Issues: 
110,Grainger,Alshin,Shepherd's Hey,String,3,N/A,N/A,,Notes:  Scanned:  Issues: 
111,Grier,,A Skeleton in the Closet,String,N,N/A,N/A,,Notes: Halloween Scanned:  Issues: 
112,Grieg,,Holberg suite,String,5,N/A,N/A,,Notes:  Scanned:  Issues: 
113,Grieg,Frost,Hall of the mountain king,String,4,N/A,N/A,,Notes:  Scanned:  Issues: 
114,Handel,,Converto Grosso op 6 n.1,N/A,N,N/A,N/A,,Notes:  Scanned:  Issues: 
115,Handel,Fishburn,"Concerto #24, 2 violins and strings",String,N,N/A,N/A,,Notes:  Scanned:  Issues: 
116,Handel,Douglas,Finale from the water Music,Other,N,N/A,N/A,,Notes:  Scanned:  Issues: 
117,Handel,,water music suite,N/A,2 or 3,N/A,N/A,,Notes:  Scanned:  Issues: 
118,Handel,,2 minuets from royal fireworks,String,N,N/A,N/A,,Notes:  Scanned:  Issues: 
119,Hanson,,Rythmic variations on two ancient hymns,String,5,N/A,N/A,,Notes:  Scanned:  Issues: 
120,Hare,,three tunes from shakespeare's England,String,N,N/A,N/A,,Notes:  Scanned:  Issues: 
121,Hart,,Masters in this hall - carol,String,N,N/A,N/A,,Notes:  Scanned:  Issues: 
122,Haydn,Dackow,Syphony #38 in C,String,N,N/A,N/A,,Notes:  Scanned:  Issues: 
123,Haydn,,minuet,String,2 or 3,N/A,N/A,,Notes: depends on arrangement Scanned:  Issues: 
124,Heinechen,,Sinfonia in D,String,3,N/A,N/A,,Notes:  Scanned:  Issues: 
125,Hellem,,Three spanish xmas carols,N/A,N,N/A,N/A,,Notes:  Scanned:  Issues: 
126,Hindemith,,Five pieces for string orch,String,N,N/A,N/A,,Notes:  Scanned:  Issues: 
127,Hofeldt,,Sunward Overture,String,3,N/A,N/A,,Notes:  Scanned:  Issues: 
128,Holst,,Brook green suite,N/A,4,N/A,N/A,,Notes: play mvts 1 & 2 or mvt 3 Scanned:  Issues: 
129,Holst,,A moorside suite,String,4 or 5,N/A,N/A,,Notes:  Scanned:  Issues: 
130,Holst,,St. Paul's suite,String,5,N/A,N/A,,Notes: Performed UIL 2011 & 2015 Scanned:  Issues: 
131,Holst,,St. Paul's suite,N/A,5,N/A,N/A,,Notes:  Scanned:  Issues: 
132,"Hovhaness, A",,Alleluia and Fugue,String,5,N/A,N/A,,Notes: play all Scanned:  Issues: 
133,"Hovhaness, A",,Psalm and fugue op 40a,String,5,N/A,N/A,,Notes:  Scanned:  Issues: 
134,"Ireland, John",,A downland suite,String,5,N/A,N/A,,Notes:  Scanned:  Issues: 
135,"Huws-Jones, E",,Battles and Brawls,Other,N,N/A,N/A,,Notes:  Scanned:  Issues: 
136,"isaac, M.",,early american suite,String,N,N/A,N/A,,Notes:  Scanned:  Issues: 
137,Israel,,dorian variations,String,2,N/A,N/A,,Notes:  Scanned:  Issues: 
138,"Jacob, Gorden",,overture for strings,String,1 or 5,N/A,N/A,,"Notes: 1 for quintet, 5 for orchestra Scanned:  Issues: "
139,"John, Elton",Custer,The Lion King,String,nonUIL,N/A,N/A,,Notes:  Scanned:  Issues: 
140,"Jirovec, V",,"Symphony No.12, 1st Movement",String,N,N/A,N/A,,Notes:  Scanned:  Issues: 
141,"Kerr, Robert",,Irish Aire and Jig,String,N,N/A,N/A,,Notes:  Scanned:  Issues: 
142,"Kirk, Theron",,Hemis Dance,Other,N,N/A,N/A,,Notes:  Scanned:  Issues: 
143,"Kreisler, Fritz",,f,Other,1,N/A,N/A,,Notes:  Scanned:  Issues: 
144,"Kreisler von, Alexander",,Intermezzo/L'Arlesienne,String,N,N/A,N/A,,Notes:  Scanned:  Issues: 
145,"Kreisler von, Alexander",,Ballade,String,N,N/A,N/A,,Notes:  Scanned:  Issues: 
146,"Kerr, Robert",,Fantasy on Amazing Grace,String,4,N/A,N/A,,Notes:  Scanned:  Issues: 
147,"Kirk, Theron",,Latham Suite,String,4,N/A,N/A,,Notes: play finale Scanned:  Issues: 
148,"England, Rick",,Variations on an Eng. Pastoral  Theme,String,N,N/A,N/A,,Notes:  Scanned:  Issues: 
149,Corelli,,Concerto Grosso Op. 6 No. 8 Christmas Concerto,String,N,N/A,N/A,,Notes:  Scanned:  Issues: 
150,"Lehmeier, J.F.",,Spanish Dance,String,N,N/A,N/A,,Notes:  Scanned:  Issues: 
151,Leyden,,Serenade for String Orchestra,String,3,N/A,N/A,,Notes: Performed UIL 2011 Scanned: N Issues: No score
152,Marsh,,A Modal Festival,Other,N,N/A,Y,,Notes:  Scanned: Y Issues: 
153,McLeod,,Galop,Other,N,N/A,Y,,Notes:  Scanned: Y Issues: 
154,Rusticana,,Mascagni Intermezzo,Both,N,N/A,N/A,,Notes:  Scanned: Y Issues: 
155,McLeod,,Fiddle Fiddle Fiddle,String,N,N/A,N/A,,Notes:  Scanned: Y Issues: 
156,MacDermot,,String Jig,String,N,N/A,N/A,,Notes:  Scanned: Y Issues: 
157,McQuilkin,,An English Folksong,String,2,N/A,N/A,,Notes:  Scanned: Y Issues: 
158,Mendelssohn,,Praeludium,String,N,N/A,N/A,,Notes:  Scanned: Y Issues: 
159,Mendelssohn,,Canzonetta,String,N,N/A,N/A,,Notes:  Scanned: Y Issues: 
160,Mendelssohn,,An Italian Elegy,String,N,N/A,N/A,,Notes:  Scanned: Y Issues: 
161,Mozart,,Divertimento in C Major,String,5,N/A,N/A,,Notes: mvts 1 or mvts 2& 3 Scanned:  Issues: 
162,Mozart,,BalletMusic to Les Petits Riens,String,3,N/A,N/A,,Notes:  Scanned: Y Issues: 
163,Mozart,,Sinfonietta in D Major,String,4,N/A,N/A,,Notes: Boing Scanned: Y Issues: 
164,Mozart,Dackow,Symphony No.10 in G Major,String,N,N/A,N/A,,Notes:  Scanned: Y Issues: 
165,Mozart,Dackow,Symphony No. 39/Menuetto,String,N,N/A,N/A,,Notes:  Scanned: Y Issues: 
166,Mozart,,"Symphony No. 16 in C Major, K.128",String,N,N/A,N/A,,Notes:  Scanned: Y Issues: 
166,Mozart,,Sympnony No. 1 in Eb Major,Full,0,N/A,N/A,,Notes: Score Only Scanned:  Issues: 
167,Mozart,Dacow,Symphony No. 15 in G major: Finale,String,3,N/A,N/A,,Notes:  Scanned:  Issues: 
168,Mozart,,Concerto in C,Other,N,N/A,Y,,Notes: Score only Scanned:  Issues: 
169,Mozart,,March of the Priests from The Magic Flute,String,N,N/A,N/A,,Notes:  Scanned:  Issues: 
170,Mosier,,Overture to the Wind,String,5,N/A,N/A,,Notes:  Scanned:  Issues: 
171,Mussorgsky,,Pictures at an Exhibition,Other,4,N/A,Y,,Notes:  Scanned:  Issues: 
172,Nelhybel,,Danza,String,3,N/A,N/A,,Notes:  Scanned:  Issues: 
173,Niehaus,,Hillcrest Overture,String,3,N/A,N/A,,Notes:  Scanned:  Issues: 
174,Niehaus,,Fanflairs,String,N,N/A,N/A,,Notes:  Scanned:  Issues: 
175,O'Donnell,Savatori,Themes from Halo 3/ Luck & Finish the Fight,Other,N,N/A,N/A,,Notes:  Scanned:  Issues: 
176,O'Fallon,,Legend,String,3,N/A,N/A,,Notes:  Scanned:  Issues: 
177,Olah,,Appalachian Lament,String,N,N/A,N/A,,Notes:  Scanned:  Issues: 
178,Pachelbel,,Canon for Strings,String,N,N/A,N/A,,Notes:  Scanned:  Issues: 
179,Persichetti,,Introit for Strings,String,5,N/A,N/A,,Notes: Score only Scanned:  Issues: 
180,Prokofiev,,Suite for Strings,String,3,N/A,N/A,,Notes:  Scanned:  Issues: 
181,Purcell,,Chacony in G Minor,String,4,N/A,N/A,,Notes:  Scanned:  Issues: 
182,Pierne,,Serenade for Strings,N/A,N,N/A,N/A,,Notes:  Scanned:  Issues: 
183,Puccini,,Chrisanthemum,String,N,N/A,N/A,,Notes:  Scanned:  Issues: 
184,Purcell,,Voluntary and March,Other,N,N/A,N/A,,Notes:  Scanned:  Issues: 
185,Purcell,,Sonata No. 9/ Golden Sonata,String,5,N/A,N/A,,Notes: No Score - missing 2nd vln Scanned:  Issues: 
186,Rachmaninov,,Russian Polka,String,N,N/A,N/A,,Notes:  Scanned:  Issues: 
187,Rameau,,Castor et Pollux Overture,String,N,N/A,N/A,,Notes:  Scanned:  Issues: 
188,"Rachmaninov, Sergey",,Romanze and Scherzo,String,non IUL,N/A,N/A,,Notes:  Scanned:  Issues: 
189,"Rachmaninov, Sergey",,Eighteenth Variation,Other,N,N/A,Y,,Notes:  Scanned:  Issues: 
190,"Ravel, Maurice",,The Enchanted Garden from Mother Goose Suite,String,3.5,N/A,N/A,,Notes:  Scanned:  Issues: 
191,"Ravel, Maurice",,Pavane,String,4+,N/A,N/A,,Notes:  Scanned:  Issues: 
192,"Richardson, Darrell",,Elegy,String,N,N/A,N/A,,Notes:  Scanned:  Issues: 
193,"Rawsthrone, Alan",,Light Music for Strings/ Catalan Tunes,String,4,N/A,N/A,,Notes:  Scanned:  Issues: 
194,Rimsky-Korsakoff,,Capriccio Espagnol,String,3 or 4,N/A,N/A,,Notes:  Scanned:  Issues: 
195,"Rhoads, William",,Les Folies D'Espangne,String,N,N/A,N/A,,Notes:  Scanned:  Issues: 
196,"Ree, Alfred",,Titania's Nocturne,String,N,N/A,N/A,,Notes:  Scanned:  Issues: 
197,"Reger, Max",,Christmas Op. 145 No. 3,String,N,N/A,N/A,,Notes:  Scanned:  Issues: 
198,Rimsky-Korsakoff,,The Young Prince & Princess,String,3,N/A,N/A,,Notes:  Scanned:  Issues: 
199,Rossini,McLeod,William Tell Overture,String,N,N/A,N/A,,Notes: Good Scanned:  Issues: 
200,Rossini,Wright,Sonata No. 1,String,5,N/A,N/A,,Notes: play mvt 1 or 3 Scanned:  Issues: 
201,Schubert,Clebanoff,Sonata No. 1 Opus 137,String,N,N/A,N/A,,Notes:  Scanned:  Issues: 
202,"Schubert, Franz",,Overture uin C Minor,String,N,N/A,N/A,,Notes:  Scanned:  Issues: 
203,"Sharp, Tom",,"Still, Still, Still",String,N,N/A,N/A,,Notes:  Scanned:  Issues: 
204,Rimsky-Korsakoff,,Dance of the Tumblers,String,2,N/A,N/A,,Notes:  Scanned:  Issues: 
205,Schubert,Frost,Schubert Dance Suite,String,2,N/A,N/A,,Notes: Play Mvt. 1 or 3 Scanned:  Issues: 
206,"Siennicki, Edmund",,Chorale and Fugue,String,N,N/A,N/A,,Notes:  Scanned:  Issues: 
207,"Siennicki, Edmund",,Stringin' the Blues,String,N,N/A,N/A,,Notes:  Scanned:  Issues: 
208,Smetana,Frost,Themes From the Moldau,String,2.5-3,N/A,N/A,,Notes:  Scanned:  Issues: 
209,"Sontag, Wesley",,Folk Song Set,String,N,N/A,N/A,,Notes:  Scanned:  Issues: 
210,"Shapiro, Marsha",,Folk Songs of the British Isles,String,1,N/A,N/A,,Notes: Sightreading Scanned:  Issues: 
211,"Sheinberg, Art",,Festival March,String,N,N/A,N/A,,Notes: Sightreading Scanned:  Issues: 
212,"Shaffer, David",,Westminster Prelude and Fugue,String,2,N/A,N/A,,Notes:  Scanned:  Issues: 
213,Satie,Klotman,Gymnopedies,Other,3,N/A,Y,,Notes: Need piano part Scanned:  Issues: 
214,"Smith, Robert",,Variant on an Old English Carol,String,N,N/A,N/A,,Notes:  Scanned:  Issues: 
215,Sousa,Zinn,The Washington Post,String,N,N/A,N/A,,Notes:  Scanned:  Issues: 
216,Doug,,Gargoyles,String,N,N/A,N/A,,Notes:  Scanned:  Issues: 
217,Stamitz,,"Symphony, Op 4, No. 2 Christmas Symphony (Pastorelle for string only)",String,N,N/A,N/A,,Notes:  Scanned:  Issues: 
218,Stephan,,When Johnny Comes Marching Home,String,3,N/A,N/A,,Notes:  Scanned:  Issues: 
219,Stephan,,Vanguard Overature,N/A,N,N/A,N/A,,Notes:  Scanned:  Issues: 
220,Richard Stephan,,Fantasia on a 17th centry Tune (Picardy),N/A,4,N/A,N/A,,Notes:  Scanned:  Issues: 
221,M. Shapiro,,Variations on a Ground,String,1,N/A,N/A,,Notes:  Scanned:  Issues: 
222,Stephan,,Variations on a Well-Known Sea Chantey,String,3,N/A,N/A,,Notes:  Scanned:  Issues: 
223,"Strauss, J",,Pizzicato Polka,String,N,N/A,N/A,,Notes:  Scanned:  Issues: 
224,"Strauss, J",,Pizzicato Polka,String,N,N/A,N/A,,Notes:  Scanned:  Issues: 
225,Tartini,Mosier,Sonata in D Major,N/A,3 or 4,N/A,N/A,,"Notes: 4 play all, 3 mvt 1 Scanned:  Issues: "
226,Tchaikovsky,,"Chanson Triste Op 40, #2",String,N,N/A,N/A,,Notes:  Scanned:  Issues: 
227,Tchaikovsky,,Largo + Allegro,Other,N,N/A,N/A,,Notes:  Scanned:  Issues: 
228,Sally Kirk,,Wonder of Life,String,N,N/A,N/A,,Notes: Piano/Harp + Drumset Scanned:  Issues: 
229,Tchaikovsky,,Sleeping Beauty Waltz,String,N,N/A,N/A,,Notes:  Scanned:  Issues: 
230,Tchaikovsky,,Children's Album,String,N,N/A,N/A,,Notes:  Scanned:  Issues: 
231,Tchaikovsky,,Jewel Dances from Sleeping Beauty,Other,N,N/A,N/A,,Notes:  Scanned:  Issues: 
232,Tchaikovsky,,Serenade for Strings in C Major,String,N,N/A,N/A,,"Notes: 2 Folders w/ scores, originals Scanned:  Issues: "
233,Tchaikovsky,,Sleeping Beauty Waltz,String,N,N/A,N/A,,Notes:  Scanned:  Issues: 
234,Tchaikovsky,,Pantomine,String,N,N/A,N/A,,Notes:  Scanned:  Issues: 
235,Tchaikovsky,,Suite from the Nutcracker,String,N,N/A,N/A,,Notes:  Scanned:  Issues: 
236,Tchaikovsky,,Three Dances from the Nutcracker,String,N,N/A,N/A,,Notes:  Scanned:  Issues: 
237,Tchaikovsky,,Pantomine from Nutcracker,String,N,N/A,N/A,,Notes:  Scanned:  Issues: 
238,Tchaikovsky,,Mother Ginger from Nutcracker,String,N,N/A,N/A,,Notes:  Scanned:  Issues: 
239,Tchaikovsky,,Trepak/Nutcracker,String,2,N/A,N/A,,Notes:  Scanned:  Issues: 
240,Vivaldi,,Concerto for Violin in A Minor ep. 3,String,N,N/A,N/A,,Notes:  Scanned:  Issues: 
241,Telemann,,Die Wassermusik cov. In C,Other,N,N/A,N/A,,Notes:  Scanned:  Issues: 
242,Telemann,,Concerto in D (mvmt I),String,5,N/A,N/A,,Notes: play 3 movements Scanned:  Issues: 
243,Telemann,,Concerto Polonois,String,4,N/A,N/A,,Notes: play movement 1 and 2 or 2 and 3 Scanned:  Issues: 
