Number,Composer/Arranger,Title,Full or String,UIL Rating,Notes,Scanned?,Issues?
361,Holst/Leidig,"""Jupiter - Bringer of Jollity"" from ""The Planets""",Full Orchestra,1,,,
362,Holst,Planets,string,1,mini scores,,
363,Michael M. Horvit,Toccatina,Full Orchestra,4,,,
364,Ippolitov-Ilanov/Isaac,Procession of the Sardar,Full,4,,,
365,M. Issac,Cavalier Overture,Full Orchestra,N,,,
366,M. Issac,Cavalier Overture,Full Orchestra,N,,,
367,M. Issac,Overture Russe,Full Orchestra,2,,,
368,Kabalevsky,Colas Breugnon Overture,Full Orchestra,5,No score,,
369,Kabalevsky,The Comedians,Full Orchestra,5,"1 of 3 Scores, winds brass, perc",,
370,Kabalevsky,The Comedians,Full Orchestra,5,2 of 3 Violins (7-7),,
371,Kabalevsky,The Comedians,Full Orchestra,5,"3 of 3 Violias, Cello, Bass",,
372,"Johnson, Robert G",Cortege,Full Orchestra,N,,,
373,"Leckrone, Michael",Harlequinette,Full Orchestra,N,,,
374,Lehmeieir,Spanish Dance,strings & percussion,N,,,
375,Matesky,Choreo Primo,Full Orchestra,4 or 5,,,
376,Matesky,Variations on Famous Theme by Paganini,Full Orchestra,N,,,
377,Mendelssohn,Fingals Cave,Full Orchestra,N,,,
378,Mendelssohn/Leidig,Reformation Symphony (Mvt. IV),Full Orchestra,1,,,
379,Mendelssohn,Symphony #4,string parts,N,,,
380,Mendelssohn,Symphony #4,wind parts,N,Scores,,
381,Montgomery/Smith,Angels from the Realms of Glory,Full Orchestra,N,,,
382,Moussorgsky/Sopkin,A Night on Bald Mountain,Full Orchestra,5,,,
383,Moussorgsky/Simpson,Pictures at an Exhibition - Part I,Full Orchestra,N,,,
384,Moussorgsky/Simpson,Pictures at an Exhibition - Part II,Full Orchestra,N,,,
385,Moussorgsky,The Great Gate of Kiev,Full Orchestra,4,Easy,,
386,Muczynski,Dovetail Overture,Full Orchestra,5,,,
387,Mlynarski,Mazurka,Full Orchestra,4,,,
388,Nelson,Jubilee,Full Orchestra,5,Copied Parts,,
389,"Rodrigo, J",Concertino,String,N,Violin and String Orch,,
390,Ruhn,16th & 17th Century Dance Tunes & Airs,String Orchestra,N,,,
391,Bowen,Eight Masterworks/LeCloir/Teleman/Moffat/Tartini/Gluck/Mozart/Haydn/Francoeur,S,N,Quartet/Octet/String Orch,,
392,Gounded/McLeod,Funeral March of A Marionette,String,N,,,
393,Bach,Overture in Eight Parts (op. 3 Sinfonias),S,N,"No Cello/Bass Parts, Scores",,
394,Stamitz/Greem,Sinfonia in D,String Orchestra,3,play mvt 1,,
395,Richard Lane,Passacaglia,String Orchestra,3,,,
396,C. Norton,Airs & Graces,S,N,,,
397,Lawrenie Weiner,Elegy,String Orchestra,5,,,
398,G. Verdi,Symphony for Strings,String,N,,,
399,Bach/Issac,Brandenburg #3,S,3,Mvt 1 & 2,,
400,Mozart/Winter,Lucio Silla Overture,Full,N,,,
401,Mozart/Gordon,Menuetto from Symph No. 25 in g minor,Full,N,,,
402,Mozart/Winter,Magic Flute Overture,Full,N,,,
403,Mozart,Concerto No. 3 in G major,Full,0,parts only,,
404,Mozart/Gordon,Ceremonial March,full or string,N,,,
405,Mozart/Forbes,Mozart in Miniature,String,N,,,
406,Mozart/Moses,Symphony no. 40 in g minor,Full,4,"(Shawnee, 10 Masterworks)",,
407,Mozart,Divertimento No. 17,Full,N,Strings and Horns,,
408,Offenbach/Wersen,Orpheus in the Underworld Overture,Full,5,,,
409,"Ovanin, Nikola",Hatikvah,Full,3,,,
410,Pachelbel/Gordon,Pachelbel's Canon,Full,N,,,
411,"Presser, William",Arctic Night,Full,2,,,
412,Prokofiev,Lieutenant Kije,Full,5,Copied Parts,,
413,Offenbach/Schone,Can-Can,Full,1,,,
414,"Power, H",The Home-Owner's Guide to Making Music,Full,N,,,
415,Prokofiev/Siennicki,Montagues and Capulets from Romeo and Juliet,Full,5,Loaned to Akins,,
416,Prokofiev/Isaac,The Wedding of Lt. Kije,Full,4,,,
417,Prokofiev/Isaac,Troika,Full,4,,,
418,Purcell/Barbirelli,Chaconne in g minor,Full,N,,,
419,"Ravel, Maurice",Pavane,Full,5,,,
420,Respighi,Ancient Ayres and Dances,Full,5,Three Scores only,,
421,Rimsky-Korsakoff/Isaac,Procession of the Nobles,Full,5,Scores and Copied Parts,,
422,Rimsky-Korsakoff/Isaac,Procession of the Nobles,Full,5,,,
423,"Reed, Alfred",Testament of an American,Full Orch with Chorus,N,Patriotic,,
424,"Rust, F.R.",Peter Schlemihl Overture,Full,N,,,
425,Saint Saens,March Heroique Op. 34,Full,N,Parts,,
426,Saint Saens,March Heroique Op. 34,Full,N,Scores,,
427,Saint Saens,Danse Macabre,Full,N,Winds in Better Key,,
428,"Scarmolin, A",The Tower Prince,Full,N,,,
429,Schubert/Cailliet,Moment Musical,Full,N,,,
430,Schubert/Perry,Five Waltzes,Full,3,,,
431,Schubert/Dasch,Symphony No. 8 in B minor (Unfinished),Full,N,,,
432,Shore,Lord of the Rings,Full,N,,,
433,"
",Festival Overture,Full,N,String Parts,,
434,"
",Festival Overture,Full,N,Copied Parts,,
434,Shostakovich,Festival Overture,Full,N,Wind and Percussion Parts,,
435,Smetana,3 Dances from the Bartered Bride,Full,N,,,
436,Smith/McCashin,Where the Black Hawk Soars,Full,4,,,
437,"Smith, Robert",Rites of Tamburo,Full,N,VERY incomplete parts,,
438,"Sommerlatte, U.",Metropolitan Portrait Rhapsody for Orchestra,Full,N,,,
439,"Strauss, J",Roses from the South,Full,N,,,
440,"Strauss, J",Gypsy Baron Overture,Full,5,,,
441,Strauss/Sopkin,Blue Danube Waltz,Full,5,,,
442,Stravinsky/Isaac,Petrouchka (The Fair),Full,5,,,
443,Stravinsky/Isaac,Berceuse and Finale (Firebird),Full,5,VERY incomplete parts,,
444,Stravinsky,Firebird Suite,Full,3,Wind and Percussion Parts,,
445,Stravinsky,Firebird Suite,Full,3,,,
446,Stravinsky,Firebird Suite,Full,3,"Viola, Cello, Bass Parts",,
447,Stravinsky/Isaac,"Danse Infernale from ""Firebird Suite""",Full,5,,,
448,Swack,Brief Journey,Full,1,,,
449,Telemann/Bauerschmidt,Overture in G Major,Full or String,N,,,
450,Tchaikovsky/Sopkin,Capriccio Italien,Full,5,,,
451,Tchaikovsky/Meyer,March from Symphony No. 2,Full,N,,,
452,Tchaikovsky,1812 Overture,Full,N,,,
453,Tchaikovsky/Carlin,Finale from 1812 Overture,Full,N,,,
454,Tchaikovsky/Roberts,"Symphony No. 6 in B minor, Pathetique, 3rd Mvt.",Full,N,,,
455,"Tull, Fisher",The Final Covenant,Full,N,,,
456,Vaughan Williams/Jacob,English Folk Songs,Full,5,,,
457,Verdi/Reibold,Grand March from Aida,Full,3,"Good Key - Eb, Dotted Rhythms",,
458,Vivaldi/Matesky,Concerto Grosso in D,Full,N,,,
459,Wagner/Siennicki,Die Meistersinger,Full,4,,,
460,Wagner/Moses,Rienzi Overture,Full,5,,,
461,Wagner/Herfurth,March of the Meistersingers,Full,2,,,
462,"Walter, D",Shenandoah,Full,2,,,
463,"Wilder, Alec",Slow Dance for Woodwinds and Strings,Full,N,Intermediate,,
464,"Wagner, Douglas",Slane Impressions on an Irish Tune,Full,N,,,
465,Weinberger,"Polka and Fugue from ""Shwanda""",Full,5,,,
466,Zamecnik,Londonderry Air,Full,N,,,
467,Haydn/Dackow,St. Anthony Chorale,String,1,,,
468,Monday,Three Celtic Carols,String,N,,,
469,Mouret/Leideg,"Rondeau from ""Masterpiece Theatre""",Full,N,No Score,,
470,"Ewing, L",Spring Creek,String,N,Easy,,
471,Strommen,Stone Mt. Stomp,String,N,,,
472,"O'Laughlin, Sean",Hillcrest Impressions,String,N,,,
473,"Meyer, Richard",Night Rider,String,N,"Copies, No Score",,
474,"Ewing, L",Procession,Strings,N,Easy,,
475,Mouret/England,Fanfare and Allegro from Suite de Symphonies No. 1,String/Cembalo,N,,,
476,Caponegro,Bow Regards Parade,S,1,Copied Parts,,
477,Monday,Burgundian Carol,String,N,,,
478,"Nunez, Carold",Little Symphony,String,2,"Copies, No Score",,
479,"Siennicki, Edmund",Cluster of Carols,String,N,,,
480,Newbold,The Haunted Carousel,String,N,,,
481,Tchaikovsky/Hoffman,Scenes from Swan Lake,Strings/Harp,N,,,
482,Vaughn Williams/Longfield,Sea Songs,String,3,,,
483,Handel/Del Borgo,Concerto for String Orch in C major,String,N,,,
484,"Mishell, K",String Fling,String,N,,,
485,Gershwin/Sayer,Summertime from Porgy and Bess,Full,N,,,
486,Telemann/Bauerschmidt,Telemann Suite,String,3,play all,,
487,Boyle,A Suite of English Folk Songs,S,1 or 2,"1, 2 selections",,
488,Ricketts,Satchmo! A Salute to Louis Armstrong,Full,N,,,
489,Handel,"Concerto Grosso, Op. 6 No. 5",Strings/Continuo,N,,,
490,Zimmer/Ricketts,"Pirates of the Caribbean, Dead Man's Chest","String, Piano, Percussion",N,,,
491,Selby/Sheinberg,English Fugue,String,3,,,
492,"Herbert, V",Air De Ballet,String,N,,,
493,Chopin/Balakirev,Mazurka No. 7,S,N,,,
494,Daniel,Hill Country Suite,Solo Violin/S,N,,,
495,Williams/Custer,Summon the Heroes,Full,N,,,
496,Ricketts,Tribute to Richard Rogers,Full,N,Pop,,
497,Foster/Thompson,Light the Fire Within,"Strings and Chorus, and Rock Band?",N,Pop,,
498,Handel/Kerr,Overture to Messiah,String/Harpsichord and Organ,N,,,
499,Haydn/Parrish,"Symphony No. 44 ""Trauer"" 4th Mvt.",String/Horns,4,,,
500,Bernstein/Moss,West Side Story Medley,S,N,Pop,,
501,Menotti/Conly,Shepard's Dance from Amahl and the Night Visitors,String,4,,,
502,Bernstein/Bulla,America from West Side Story,S,N,Pop,,
503,"Weber, C.M.",Waltz for Strings,String,N,,,
504,Shostakovich/Drew,Prelude and Scherzo,String,N,,,
505,Mozart,Divertimento in D. K 136,String,N,,,
506,Disney/Neely,Fantasia 2000,String,N,Pop,,
507,Trad/McGinty,Wexford Carol,String,2,,,
508,"Warshaur, M",Shabbat with King David,String,N,,,
509,Vaughan Williams/Bulla, Song Suite,String,3,,,
510,Caponegro,British Grenadiers,S,N,,,
511,Bizet/Isaac,Farandole from L'Arlesienne Suite No. 2,S,3,,,
512,Vivaldi/Frackenpohl,Allegro in D,String,3,,,
513,Clark,Carol of the Bells/ Greensleeves,S,N,Holiday,,
514,Handel,Concerto Grosso in B flat Major Op. 6 No. 7,String,N,,,
515,Menken/Chase,Beauty and the Beast,String,N,Pop,,
516,Vaughn Williams/Foster,"Prelude, Founded on the Welsh Hymn Tune ""Hyfrydol""",Full or String,N,Copies only,,
517,Vaughn Williams/Foster,Rhosymedre Prelude on a Welsh Hymn Tune,String,N,,,
518,Sibelius,Andante Festivo,String,3,,,
519,Arensky,Variations on a Theme of Tchaikovsky,S,"3, 4, or 5","T&1M, T&2M, all",,
520,Humperdinck/Ryden,Prelude (Evening Prayer) from Hansel and Gretel,String,N,,,
521,Handel/Frost,Hallelujah from Messiah,String,N,Holiday,,
522,Corelli,Concerto Grosso in F major Op. 6 No. 12,S,N,,,
523,Corelli/Brown,Sonata da Camera No. 7 and No. 8,S,3,2 contrasting mvts.,,
524,Corelli/Brown,Sonata da Camera No. 9 and No. 10,S,4,"No vla or cello, 2 contrast. mvts.",,
525,Mendelssohn,Symphony No. 5 The Reformation op. 107,Full,0,String Parts,,
526,Mendelssohn,Symphony No. 5 The Reformation op. 107,Full,0,Scores and Wind Parts,,
527,Mendelssohn,Symphony No. 5 The Reformation op. 107,Full,0,Copied Parts,,
528,Tchaikovsky/Higgins,"Triumphant March (Based on Tchaikovsky's 6th Symphony, 3rd Mvt.)",Full,3,,,
529,Elgar,Serenade for String Orchestra,String,5,,,
530,Mussorgsky/Isaac,Hopak,String,3,,,
531,Bergsma,"Dances from a New England Album, 1856",F,4,,,
532,Prokofiev,Lieutenant Kije op. 6,Full,5,String Parts,,
533,Prokofiev,Lieutenant Kije op. 6,Full,5,Wind Parts and Score,,
534,Berlioz,"Hungarian March (Radesky March) from ""The Damnation of Faust"" Op. 24",F,5,,,
535,"Nunez, Carold",M to the Third Power,String,3,,,
536,Mouret/Leideg,"Rondeau from ""Masterpiece Theatre""",String,N,,,
537,Gershwin,Lullaby,String,4,,,
538,Respighi/Alshin,Antique Dances and Airs,String,3,,,
539,Saint Saens/Isaac,March Militaire Francaise,Full,4,Missing original 4th F Horn,,
540,Grieg,Peer Gynt Suite No. 1 op. 46,Full,5,,,
540,Grieg,Peer Gynt Suite No. 1 op. 46,Full,5,Scores,,
541,Hovhannes,Armenian Rhapsody No. 3 op. 189,String,5,,,
542,Adler,Four Early American Folk Tunes,S,N,"See new edition ""Five Early American Folk Tunes",,
543,Borodin,"Polovtsain Dances from ""Prince Igor""",F,5,Parts and 1 score,,
544,Borodin,"Polovtsain Dances from ""Prince Igor""",F,5,Scores 2-5,,
545,Borodin,"Polovtsain Dances from ""Prince Igor""",F,5,Upper Strings,,
546,Borodin,"Polovtsain Dances from ""Prince Igor""",F,5,Lower Strings,,
547,"Lady Gaga/Arr. Berezney",I gotta Feeling and Poker Face,String,N,Pop,,
548,Bizet,Carmen Suite No. 2,F,5,Parts Only,,
548,Bizet,Carmen Suite No. 2,F,5,Scores Only,,
549,Saint Saens,Dance Macabre,Full,0,Parts Only,,
549,Saint Saens,Dance Macabre,Full,0,Scores Only,,
550,Soon Hee Newbold,Blue Fire Fiddler,String,N,,,
551,Juan Plaza,Fuga Criolla,,N,,,
552,William Dyson,Ballade,String,N,,,
553,William Hofeldt,Twilight Ceremonial,String,N,,,
554,Mark Williams,Fancy Fiddles,String,N,,,
555,Larry Clark,Out of Winter,String,2,,,
556,"Meyer, Richard",Tangerine Rag,String,N,,,
557,Schumann,Traumerai,String,3,,,
558,"Siennicki, Edmund",Ritual,String,N,,,
559,Bach/Isaac,Concerto in D Major,S,3,,,
560,"Meyer, Richard",Mantras,String,3,,,
561,Atwell,Rhythm Sticks,S,4,,,
562,Corelli,Concerto Grosso op. 6 #4,S,N,,,
563,Puccini/Dackow,O Mio Babbino Caio ,String,N,,,
564,Mahler/Dackow,Symphony No. 1 Mvt. 2,String,3,Copies only,,
565,"Washburn, Robert",Knightsbride Suite,String,N,,,
566,Grieg,Heart Wounds/ The Last Spring,String,5,,,
567,"Sharp, Keith",Shanghai Hornpipe,String,N,Medium difficulty,,
568,Clark,Kinetic Energy,S,2,,,
569,"Meyer, Richard",Terra Nova,String,2,,,
570,Vivaldi,Sinfonias No. 1 and 2,String,5,,,
571,Brahms,"Hungarian Dances, No. 5, No. 6, No. 7",F,5,,,
572,Elgar,Enigma Variations and Pomp and Circumstance Marches,Full,5,Scores Only,,
573,"Piazzolla, Arr. Allen",Le Grand Tango for Viola Solo and String Orchestra,String,N,,,
574,Newbold,Perseus,String,4,,,
575,Clark,Engines of Resistance,F,2,,,
576,"Gassi, Vince",Crusade,String,N,Easy,,
577,Shostakovich arr. Drew,Sinfonia for String Orchestra from Quartet No. 8 Op. 110,String,N,Score only,,
578,"Giebler, Cindy",Elasticity,String,N,Easy,,
579,"Ford, Ralph",Hyperdrive,String,N,Easy,,
580,"Phillips, Joseph",Fantasia on an Original Theme,String,3,,,
581,Prokofiev/Gruselle,Classical Symphony (Finale),String,4,,,
582,Atwell,Kentucky Jam,S,3,,,
583,Mendelssohn,Sinfonia No. 2 in D Major,String,0,,,
584,Vivaldi,Concerto in D Major RV 121,String,0,Scores Only,,
585,Plohman/Phillips,Tam Lyn,String,N,Scores Only,,
586,Gruselle,Goin' to Boston,String,N,,,
587,Telemann/Dowty,Concerto in D Major,String,N,,,
588,"Roumain, Daniel Bernard",Symphony For the Dance Floor,Full,N,Score only,,
589,Berlioz,Symphonie Fantastique - March to the Scaffold,F,5,Parts Only,,
590,"Gazda, Doris",Appalachian Sunrise,String,2,,,
591,"Spata, Doug",Gauntlet,String,3,,,
592,"Phillips, Bob",Toucan Tango,String,N,,,
593,Le Pera/Gardel Arr. Scott,Por Una Cabeza,String,N,Grade 4,,
594,"Silva, Alan Lee",Forest Incantations,String,N,Grade 4,,
595,Frescobaldi/Beeman,Toccata,String,N,Grade 2+,,
596,"Story, Michael",The Tell-Tale Heart,String,N,Grade 2.5,,
597,Handel Arr. Frost,Lascia Ch'io Pianga,String,N,Grade 3,,
598,Bishop,Showdown!,S,N,Grade 4.5,,
599,Bernofsky,Heart of Fire,S,4,,,
600,Trad/Darling,Isma'a (Listen),String,N,Grade 3,,
601,"Finzi, Gerald",Prelude for String Orchestra,String,5,,,
602,Day,Cliffs of Moher,S,N,Grade 2 - Parts only,,
603,"Faure, Gabriel",Sicilienne from Pelleas et Melisande,Full,5,,,
604,Barnes,Yorkshire Ballad,S,3,,,
605,Daniels,Air and Dance,S,3,,,
606,Clark,Air and Caprice,S,2,,,
607,"Turner, Matt",Rocksteady Reggae,String,N,Grade 2.5,,
608,"Siennicki, Edmund",Baroque Fugue,String,1,,,
609,"Monday, Deborah",Crossing Pirates' Cove,String,2,,,
610,"Spata, Doug",Las Mariposas Exoticas,String,N,Grade 2,,
611,"Fritz, Tom",Fiddles on the Fritz,String,N,Grade 2,,
612,"Meyer, Richard",Cellos Ole!,String,N,Grade 2,,
613,"Reinagle, Joseph",Revenge of the Double Bass,String,N,Grade 2,,
614,"Foote, Arthur",Suite in E Major,String,5,UIL 2014,,
615,"Svendsen, Anne ",Butterflies on the Breeze,String,UIL,,,
616,"Hofeldt, William",Nocturne,String,4,,,
617,Suk. Joseph,Serenade for String Orchestra,String,UIL,UIL 2015,,
618,"Sibelius, Jean",Romance in C,String,,,,
619,Clark,Contradanse,S,2,UIL 2015,,
620,"Marquez, Arturo",Danzon N. 2,Full Orchestra,N,UIL 2015,,
621,"Frost, Robert S. ",Illusions,String,5,,,
622,"Gould, Morton",Spirituals for String Orchestra and Harp,Strings and Harp,5,Harp,,
623,Handel,Organ Concerto in B flat,Strings and Harp,N,,,
624,"Moore, Larry",Uptown Funk ,Strings and Percussion,N,Pop,,
625,"Williams, Vaughan",Fantasia on Greensleves,Strings and Harp,4,UIL 2015,,
626,"Longfield, Robert",Salute to Michael Jackson,Strings,N,Pop,,
627,O'Loughlin Sean,Back to the Future,Strings and Percussion,N,,,
628,Mother Falcon,Marigold,,N,,,
629,Silvestri/Moore,Music from the Avengers,pop,N,,,
630,Bullock,The Beatles Suite ,pop,,,,
631,"Monday, Deborah",Conquistador,,N,,,
632,Sienicki,Blue Heron,,,,,
633,"Frost, Robert S.",Sanseneon,String,3,,,
634,"Story, Michael",Shut Up and Dance,pop,,,,
635,Still,Danzas de Panama,String,5,,,
636,Wagner/Dackow,March of the Meistersingers,S,,,,
637,"Niehaus, Lennie ",Crestline Summit,String,3,Sight Reading 2017,,
638,"Porter, Greg A. ","Bacchanale from ""Samson and Deliah""",String,N,,,
639,"Kazik, James ",Star Wars,Strings and Percussion,,,,
640,"Newbold, Soon Hee ",Fire Dance,String,N,,,
641,"Saint-Saens, Camille",Prelude,String,,,,
642,Balmages,Spartacus,S,N,,,
643,Meyer,Acrobats,String,5,,,
644,Clark,Quintus,S,2,,,
645,Mosier,The Dance of Iscariot,String,3,,,
646,Moore,,String,Pop,,,
647,Parry,Suite in F (Lady Radnor's Suite),String,5,,,
648,"Newbold, Soon Hee ",The Odyssey,String ,N,,,
649,Mendelssohn,Sinfonia X,String,0,,,
650,"Verdi, Giuseppe","Overture, La Forza del Destino",Full,0,Score Only,,
651,"Diamond, David",Rounds for String Orchestra,String,5,,,
652,Barber,"Overture to ""The School of Scandal""",F,,Score Only,,
653,"Jackson, S. A",Syncopation Jubilation,String,,Student Composition,,
654,"Dickson, Richard",Season's Greetings,String with Piano,N,No piano part,,
655,"Sieving, Robert",Dos Fuegos ,String,,Score ,,
656,Rutter,Suite for Strings,String Orchestra,,Everything ,,
657,Moore,A Charlie Brown Christmas,String Orchestra,N,,,
658,Moore,Polar Express Medley,String Orchestra,N,,,
659,Meyer,Geometric Dances,String Orchestra,3,,,
660,Whitacre/ Lavender,October,Strings and Percussion,UIL 4 (poss.),,,
661,Silva,Sunburst,S,1.5,,,
662,Chabrier,Espana,F,5,Copies only,,
663,Bernstein,Overture to Candide,F,5,Played FO 2016-17,,
664,Chadwick,Serenade for String Orchestra in F Major,S,5,Play 1 mvt.,,
665,Handel/Hoffmann,Twelve Sinfonias,S,4,,,
666,Wiren,Serenade for String Orchestra Opus 11,S,none,,,
667,Janacek,Suite for String Orchestra ,S,none,,,
668,Teleman,Little Suite in D,S,3,,,
669,Corelli,Concerto Grosso in C Minor Op. 6 No. 3,S,N,,,
670,Handel/Clark,Overture to Rodelinda,S,,,,
671,Meyer ,Spring Breezes,S,3,,,
672,Corelli,Concerto 3,S,N,,,
673,Bridge,Suite for String Orchestra ,S,4 or 5,"Mvt. 2 or 3 (Kalmus), Mvt. 1 or 4 (Luck's)",,
674,Sibelius,Valse Tristes Op. 44 No. 1,S,N,,,
675,Nielsen,Little Suite  ,S,N,,,
676,Mozart,Alla Turca,S,N,,,
677,Hurwitz/Oroshiba,Another Day of Sun,"S, Pr, Vo",N,,,
678,Shostakovich,Symphony #5,F,,,,
679,Jackson,Sarah Jackson Music,S,,,,
680,Balmages,Afterburn,S,2.5,,,
681,Dvorak,"Serenade for Strings, Op. 22, First Movement",S,4.5,,,
682,Balmages,Hunting the Wild Beast,"S, Pr",2.5,,,
683,Liszt,Cossack March ,F,4,,,
684,Brahms,Academic Festival Overture,F,4,,,
685,Menken,A Whole New World,S,N,,,
686,Menken,Evermore,"S, Pr",N,,,
691,Webber,Music of the Night,,,,,
692,Mendelssohn,Sinfonia 3 in E minor,,,,,
693,Mercury/Longfield,Bohemian Rhapsody,,,,,
694,Hart and Boyce,Last Train to Clarksville ,,,,,
695,Djawadi,Game of Thrones,,,,,
696,Giacchino,Rogue One: A Star Wars Story,,,,,
697,James Kazik,Sing,,,,,
698,Menken and Rice,How does a Moment Last Forever,,,,,
699,Moore,Highlights from Moana,"S, Pi, Pr",N,,,
700,Khachaturian/Longfield,"Adagio (Theme from ""Spartacus"")",,,,,
701,Mendelssohn,Sinfonia 1in C,,,,,
702,Tchaikovsky,"Souvenir de Florence, Op. 70",S,,Scored for sextet,,
703,Dacrow,O Mio Babbino Caro ,Full,,,,
704,Rautaavara,Divertimento for String Orchestra,String,,,,
705,Newbold,Mythos ,S,,,,
706,Meyer,The Emerald Falcon,S,,,,
707,Balmages,Ice Sculptures,S,,,,
708,Silva,The Highwire,S,,,,
709,Del Borgo,Danse Infernale,S,,,,
710,Woolstenhulme ,Such Sweet Sorrow ,S,3,,,
711,Carse,The Winton Suite,S,,,,
712,Silva,The Code,S,,,,
713,Spata,Across the Wind,S,,,,
714,Zuehlsdorff,Labyrinth,S,3,,,
715,Daniel,Avocado Orchard,Full,,,,
